Permission Name,API Name,Description
Manage marketing setup tasks,MarketingAdmin,Allow user to perform Marketing Administration actions
Mass Edits from Lists,MassInlineEdit,Edit multiple records simultaneously from a list with inline editing.
Access to Marketing Cloud Growth Setup,MCGSetupUserPerm,Permit user access to Marketing Cloud Growth Setup.
Configure Marketing Cloud Scoring Rules,McScoringRulesConfig,Manage and publish lead scoring rules.
Permission to access MuleSoft Data Works license,MDWConsumer,Permission to access MuleSoft Data Works license
Use objects in the Medication Management data model via Experience Cloud sites,MedMgmtExperienceCloudUser,"Gives users create, read, edit, and delete access to records of the Medication Management objects in Experience Cloud sites."
Merge Topics,MergeTopics,Merge one or more topics.
Metadata studio User,MetadataStudioUser,View Metadata studio Tab
Use Micro-Batching to Create Records,Microbatching,"Create records in batches, rather than one at a time. To facilitate performance and scale, this process bypasses field-level security and record-type validations."
Manage Building Energy Record Types,MngBuildingEnergyRecordTypes,"View, create, edit and delete building energy record types."
Manage Energy Attribute Certificate Credits,MngEnrgyAttrCertCredit,Manage energy attribute certificate credits and allocate renewable energy to offset scope 2 electricity emissions.
Access PSP Financial Assistance,MngFinancialAssistanceProgram,Provide users with access to the Financial Assistance program and its associated features.
Manage Fuel Type Sustainability Unit of Measure,MngFuelTypeSustainabilityUOM,"View, create, edit, or delete fuel type sustainability unit of measure."
Manage Stationary Asset Record Types,MngStationaryAssetRecordTypes,"View, create, edit, or delete stationary asset record types."
Manage Sustainability Unit of Measure Conversion,MngSustainabilityUOConversion,"View, create, edit, or delete sustainability unit of measure conversion."
Enforce Enhanced Mobile App Security,MobileAppSecurity,Enforce admin-assigned enhanced mobile app security policies.
Message on Mobile,MobileMessagingAgent,Send and receive messages with the Salesforce mobile app.
Moderate Chatter,ModerateChatter,"Deactivate Chatter Free users, assign moderator privileges to Chatter Free users, and remove posts."
Moderate Experience Cloud Site Feeds,ModerateNetworkFeeds,Moderate Chatter Feeds in Experience Cloud sites.
Moderate Files in Experience Cloud Sites,ModerateNetworkFiles,Moderate Salesforce Files in Experience Cloud sites.
Moderate Chatter Messages in Experience Cloud Sites,ModerateNetworkMessages,Moderate Chatter Messages in Experience Cloud sites.
Moderate Experience Cloud Site Users,ModerateNetworkUsers,"Allows users to manage Experience Cloud site member access, such as freezing a user."
Modify Allow Data Governance Policies,ModifyAccessAllowPolicies,"Create, edit, and delete Allow policies in the Data Governance tab"
Modify Deny Data Governance Policies,ModifyAccessDenyPolicies,"Create, edit, and delete Deny policies in the Data Governance tab"
Modify All Data,ModifyAllData,"Create, edit, and delete all organization data, regardless of sharing settings."
Modify All Policy Center Policies,ModifyAllPolicyCenterPolicies,"Create, edit, and delete all Policies in the Policy Center App. Specific policy types may require additional permissions."
Modify Data Classification,ModifyDataClassification,View and modify field-level data classification metadata.
Modify Metadata Through Metadata API Functions,ModifyMetadata,"Create, read, edit, and delete org metadata. Users must have appropriate access rights to the metadata they're trying to modify. Be careful if delegating this permission. Some metadata executes in system context, when object permissions, field-level security, and sharing rules that apply to the user are ignored. For example, Apex executes in system context."
Monitor Login History,MonitorLoginHistory,"View and download login history, and create login history custom list views."
User license to access Mortgage in Financial Services Cloud.,MortgageUserAccess,User license to access Mortgage in Financial Services Cloud.
Manage Multi-Step Scheduling features,MultiStepSchedulingUser,Manage Multi-Step Scheduling features
Manage Site Settings,MyTrailheadBranding,Set up your enablement site and customize settings such as branding and content filters.
View All Content,MyTrailheadContentAccess,View and report on content from any content collection.
Create Content,MyTrailheadContentCreation,"Create, import, edit, and delete content for your enablement site using the Trailmaker Content app."
Manage Trailmix Custom Steps,MyTrailheadCustomSteps,"Create, edit, and delete links or tasks in a trailmix."
Manage Content Collections,MyTrailheadManageCollections,"Create, edit, and delete content collections, which define the content that you make available to specific groups of users on your enablement site."
Preview Release,MyTrailheadPreviewMode,"Preview a release, including all content currently published in a content collection and any new or changed content in the release."
Manage Releases,MyTrailheadReleaseMgmt,"Create, edit, delete, publish, and troubleshoot releases for your enablement site."
Salesforce Mobile App: Native scrolling on webviews,NativeWebviewScrolling,Replace ui:scroller with native scrolling on webviews. Users experience smoother scrolling.
Report Builder,NewReportBuilder,"Create, edit, and delete reports using the classic report builder interface."
Salesforce Mobile App Plus: Offline,OfflineForMobilePlus,This feature allows you to access your custom LWCs built for Salesforce mobile to be accessible while offline
Omnichannel Inventory Basic,OmnichannelInventoryBasic,Allow access to the basic inventory functionality using the Omnichannel Inventory Service APIs.
Omnichannel Inventory Sync,OmnichannelInventorySync,Sync inventory using the Omnichannel Inventory Service APIs.
Enables admin/developer to create new OS/DR/VIP instances.,OmniStudioDesigner,Enables admin/developer to create new OS/DR/VIP instances.
"Enables business users to execute OmniScripts, DRs, Cards, etc, in employee facing apps.",OmniStudioRuntime,"Enables business users to execute OmniScripts, DRs, Cards, etc, in employee facing apps."
"Enables consumers and partners to execute OmniScripts, DRs, Cards through a Community or off platform.",OmniStudioRuntimeCC,"Enables consumers and partners to execute OmniScripts, DRs, Cards through a Community or off platform."
Manage Queue Memberships,OmniSupervisorManageQueue,Allows supervisors to assign agents to and remove agents from queues.
Access to Opportunity Influence,OpportunityInfluence,Use data on opportunities influenced by campaigns.
Use Einstein Opportunity Scoring,OpportunityScoreUser,See opportunity scores showing which deals are more likely to close.
Exclude Technician from Geolocation Tracking,OptOutGeoLocationTracking,Stops the collection of location data for Field Service mobile app users.
Create and Upload Change Sets,OutboundMigrationToolsUser,"Create, edit, and upload outbound change sets."
Override Forecasts,OverrideForecasts,Override personal forecasts and forecasts for users who report directly to them in the role hierarchy.
Create and Update Second-Generation Packages,Packaging2,Create and update these packages using the command-line interface.
Delete Second-Generation Packages,Packaging2Delete,Delete packages and package versions.
Promote a package version to released,Packaging2PromoteVersion,Promote a package version to released.
Allow access to all Pardot features,PardotUser,"Allow access to all Pardot features, including Einstein features with Pardot Advanced edition."
Password Never Expires,PasswordNeverExpires,Prevent the user's password from expiring.
Payments Api User,PaymentsAPIUser,Allow users to access CCS Payments apis
Provides users access to the Personalization Decisions invocable action.,PersonalizationDecisioningUser,Provides users access to the Personalization Decisions invocable action.
Personalization Intelligence User,PersonalizationIntelUser,Allows user to install and access Personalization Intelligence Dashboard
Access Personalization Platform,PersonalizationPlatform,Access the Personalization Platform and its entities.
Data Cloud FlexCards for Financial Services Cloud,PersonalizedFinanceUserAccess,Data Cloud FlexCards for Financial Services Cloud.
Pipeline Inspection User,PipelineInspectorUser,Lets sales users access Pipeline Inspection.
Predictive Platform Analyze,PredictivePlatformAnalyze,Manage predictive analyses.
Predictive Platform Query,PredictivePlatformQuery,Execute predictive queries on predictive analyses.
Hide Option to Switch to Salesforce Classic,PreventClassicExperience,Always use Lightning Experience; removes the Switcher so it's not possible to switch to Salesforce Classic.
Allow access to Preview Experience,PreviewExperienceUser,Allow access to Preview Experience
Send Test Email,PreviewTestSendEmail,Send test emails from the preview and test operation via Messaging Service.
Prism Playground User,PrismPlaygroundUser,View Prism Playground Tab
Allow user to access privacy data,PrivacyDataAccess,Allow user to access privacy data.
View Channel Management Console,PRMChannelMgmtConsoleUser,Gives users access to view the Channel Management Console.
Set Up Partner Connect for a Partner Org,PrmExtIntPrtnrAdminUser,"Access the Partner Connect for Partners page in Setup, where partner admins can respond to vendor admins' requests to securely integrate leads and opportunities across the two companies' Salesforce orgs."
Connect to Salesforce from PRM for Slack App,PRMForSlackPartnerManagerUser,Connects a Partner Relationship Management for Slack user to Salesforce.
Connect to Partner Portal from PRM for Slack App,PRMForSlackPartnerUser,Connects a Partner Relationship Management for Slack user to their Partner Portal.
Finalize Invoices,ProcessInvoice,Edit invoice billing addresses and activate contracts on accounts without an organization.
Product Admin,ProductAdmin,Lets users create and manage all types of attributes.
View Product Catalog via API,ProductCatalogApiAccess,Provides read access to Product Catalog Management objects using API.
View Product Catalog via API for Customer Community User,ProductCatalogMgmtApiCCAccess,Provides customer community users read access to Product Catalog Management objects using API.
View Product Catalog via API for Partner Community User,ProductCatalogMgmtApiPCAccess,Provides partner community users read access to Product Catalog Management objects using API.
View Product Catalog for Customer Community User,ProductCatalogMgmtBaseCCUser,Provides customer community users read access to Product Catalog Management objects.
View Product Catalog for Partner Community User,ProductCatalogMgmtBasePCUser,Provides partner community users read access to Product Catalog Management objects.
Allow access to Product Discovery,ProductDiscoveryUser,Allow access to Product Discovery
Permission to access internal entities for provider search,ProviderSearchUserAccess,"Lets users create, edit and delete provider search records."
Public Twitter Response,PublicTwitterResponse,Reach out publicly even if the first post on the case is direct message.
Publish Articles,PublishArticles,Allow user to publish Knowledge articles.
Upload AppExchange Packages,PublishPackaging,Upload packages to AppExchange for distribution.
Article Translation - Publish,PublishTranslation,Publish an article translation
Query All Files,QueryAllFiles,Allows View All Data users to SOQL query all files in the org.
Query for Basic Customer Information,QueryCustomerInfo,Query for customer info across organizations (SFDC Internal).
Query Non Vetoed Files,QueryNonVetoedFiles,Allows Data Cloud users to SOQL query all non vetoed files in the org.
Quip Metrics,QuipMetricsAccess,Allows users to access Quip metrics.
Quip User Engagement Metrics,QuipUserEngagementMetrics,Allow users to access Quip user engagement metrics.
Reassign Orchestration Work Items,ReassignOrchestrationWorkItems,Reassign orchestration work items.
Record Aggregation Access,RecordAggregationAccess,Provides users access to Record Aggregation features and objects.
Enable RecordVisibility API,RecordVisibilityAPI,Retrieve record visibility information.
Refund Payments,RefundPayments,Refund payments.
Remote Media for Virtual Desktop,RemoteMediaVirtualDesktop,"To communicate with a caller, virtual desktop users must access Service Cloud Voice in a Remote Media mode. Otherwise, audio isn’t streamed to the agent desktop."
Remove People from Direct Messages,RemoveDirectMessageMembers,Lets a user remove others from direct messages the user is in.
View and Act on Einstein Reply Recommendations,ReplyRecommendationUser,View and act on replies recommended by Einstein.
Reset User Passwords and Unlock Users,ResetPasswords,"Unlock users whose accounts are locked, and reset user passwords."
Respond to Social Insurance Claims,RespondToSocialInsuranceClaims,Enables users to respond to Social Insurance claims on the Experience Cloud site.
Retain Field History,RetainFieldHistory,Retain field history records.
Revenue Intelligence User,RevenueIntelligenceUser,Lets sales teams access Revenue Intelligence features.
Allows a user to do data uploads through Roster file.,RosterFileDataUploadAccess,Allows a user to do data uploads through Roster file.
Use CG Cloud - Retail Execution App,RunCGCloudREPackage,Allow users to use the Consumer Goods Cloud Retail Execution offline app.
Sync Data,RunCGCloudSyncPackage,Synchronize data between a device and Salesforce org using the Consumer Goods Cloud app.
Gives users access to the Consumer Goods Service Excellence feature.,RunCGServiceExcellence,Gives users access to the Consumer Goods Service Excellence feature.
Run Context Rules,RunContextRule,Run context rules.
Run Decision Matrices,RunDecisionMatrix,Provides privileges to do a lookup on the decision matrix.
Manage and Run Direct Store Delivery,RunDirectStoreDelivery,Configure and/or run the Direct Store Delivery tasks on mobile application
Run Expression Sets,RunExpressionSet,Provides privileges to execute expression sets.
Run Flows,RunFlow,"In this org, run any active flow. In Experience Builder sites, run any active flow that’s distributed with the Flow Lightning component."
Run Net Zero Analytics Recipe,RunNetZeroAnalyticsRecipe,Run a recipe in Net Zero Cloud Analytics.
Register with Processing Services,RunRegisterProcessingServices,Register orgs with processing services
Run Reports,RunReports,Run reports and dashboards.
Manage and Run Retail Execution CPG,RunRetailExecution,Configure and/or run the Retail CPG mobile application
Access Sales Cloud Analytics Templates and Apps,SalesAnalyticsUser,Can create and use apps from Sales Cloud Analytics template.
Sales Console,SalesConsole,Allow users to access Sales Console.
Use Inbox,SalesforceIQInbox,Use all Inbox features.
Allows the Cloud Integration User to perform SalesforceIQ internal operations,SalesforceIQInternal,Allows the Cloud Integration User to perform SalesforceIQ internal operations
Use Salesforce Meetings,SalesforceMeetingsUserPerm,"Enhance meetings with tools to help prepare, engage, and follow up."
Test Sandboxes in Mobile Publisher for Experience Cloud,SandboxTestingInCommunityApp,Allows testing a sandbox experience in the mobile publisher for Experience Cloud.
View Opportunity Scoring Model Factors,SCEViewAllData,"See all factors used by Opportunity Scoring to build scoring models. Scoring models are used to score individual records. Users who can view model factors can sometimes see the object data and object-related data used to build the models, regardless of their sharing settings."
Schedule Dashboards,ScheduleJob,"Schedule when dashboards refresh, and send email notifications that include refreshed dashboards in HTML format. Your organization's data may be saved and/or processed by third-party services, and Salesforce is not responsible for data users choose to send outside of Salesforce."
Allows user to use Salesforce Scheduler AI features.,SchedulerAIAgentUserAccess,Allows user to use Salesforce Scheduler AI features.
Schedule Reports,ScheduleReports,"Schedule report refreshes in Salesforce Classic, and send email notifications that include refreshed reports in HTML format. Your organization's data may be saved and/or processed by third-party services, and Salesforce is not responsible for data users choose to send outside of Salesforce."
Facility Manager,SchedulingFacilityManager,Allows users to create queues and queued parties.
Queue Manager,SchedulingLineAmbassador,Allows users to view a queue and create queued parties.
Scoring Framework Admin,ScoringFrameworkAdmin,Enable Scoring Framework and define models for scoring use cases.
Scoring Framework User,ScoringFrameworkUser,View predicted scores generated for use cases based on the defined models.
Require Social Post Approvals,ScsRequireApproval,Social posts must be approved before they are published.
Use objects in the Social Determinants data model via Experience Cloud sites,SDCommunityAccess,"Gives users create, read, edit, and delete access to records of the Social Determinants objects in Experience Cloud sites."
Segment Intelligence User,SegmentIntelligenceUser,View Segment Intelligence Tab and Dashboard
Select Files from Salesforce,SelectFilesFromSalesforce,Selecting a Salesforce file is an option when attaching a file.
Send announcement emails,SendAnnouncementEmails,Allows email notifications to be sent when a user posts an announcement.
Send Custom Notifications,SendCustomNotifications,"Trigger the Send Custom Notification action in flows that run in user context, REST API calls, and Apex callouts."
Send Unified Messaging Email,SendEmail,Send email via Messaging Service.
Send Email through External Email Service,SendExternalEmailAvailable,"Allow users to send their emails through the external email service configured for the org, such as Gmail or Office 365."
Send Stay-in-Touch Requests,SendSitRequests,Send Stay-in-Touch update emails.
Use Conversation Insights for Service,ServiceECIUser,Lets users access Einstein Conversation Insights for Service.
Service Excellence Platform User,ServiceExcellencePlatformUser,Grants access to the Service Excellence objects and fields
Share Files with People in Experience Cloud sites,ShareFilesWithNetworks,Share files in Experience Cloud sites by changing their sharing settings or posting them to profiles.
Share internal Knowledge articles externally,ShareInternalArticles,Allow user to share internal Knowledge articles externally
Share Einstein Discovery Models,ShareSmartDataDiscoveryStory,Allow user to export Einstein Discovery models to Quip.
Show Company Name as Site Role,ShowCompanyNameAsUserBadge,Allow users to see other users' company name in site role.
Show Pre-Work Brief,ShowPreWorkBriefGA,Show an AI-generated brief for work orders in the Field Service mobile app. AI can produce inaccurate or harmful responses. Review output for accuracy and safety. You assume responsibility for how outcomes are applied.
Basic Csv Data Import User Permission,SimpleCsvDataImportUser,Basic Csv Data Import User Permission
Skip Device Activation at Login,SkipIdentityConfirmation,Allow a Salesforce Customer Support representative to log in to this org without verifying their identity in order to troubleshoot an issue.
Manage Slack app organization connections for Slack apps,SlackAppAdministrator,Grants the ability to manage Slack app organization connections for Slack apps
Financial Services Cloud for Slack User,SlackCibUser,Grants access to integrate Financial Services Cloud on Slack.
Slack Elevate,SlackElevate,Allows a user to access Slack Elevate.
Access Slack Record Channels,SlackRecordChannels,Allow user to access Slack Record Channels.
Slack Sales User,SlackSalesUser,Allows a user to access Sales Cloud for Slack.
Slack Service User,SlackServiceUser,Give a user access to Slack for Service.
Smart Data Discovery for experience users,SmartDataDiscoveryForCommunity,Required for providing experience users access to Smart Data Discovery
Import Solutions,SolutionImport,Import solutions for the organization.
Use Data Pipeline Base,SonicConsumer,Use Data Pipelines Base.
Stage Management Designer User,StageManagementDesignUser,Provides user access to Stage Management Designer.
Stage Management User,StageManagementUser,Provides user access to Stage Management.
Use Einstein Activity Capture Standard,StdAutomaticActivityCapture,Keep data between Salesforce and email and calendar applications up to date.
Ignore predicate when creating model from dataset,StoryOnDSWithPredicate,Required to create an Einstein Discovery model from a dataset with a predicate (deprecated).
Student Community Pages,StudentCommunityPages,Provides access to the student community pages.
Article Translation - Submit for Translation,SubmitForTranslation,Submit an article for translation
Manage Macros Users Can't Undo,SubmitMacrosAllowed,"Create, update, and run macros that include irreversible instructions."
Submit Orders,SubmitOrder,Submit orders for approval.
Subscribe to Dashboards: Send to Groups and Roles,SubscribeDashboardRolesGrps,Set public groups and roles as recipients of dashboard subscriptions in Lightning Experience.
Subscribe to Dashboards: Add Recipients,SubscribeDashboardToOtherUsers,"Specify recipients of email notifications from dashboard subscriptions in Lightning Experience. All recipient email addresses appear in the subscription email's ""to:"" field, so subscription email recipients will be able to see each other's email addresses regardless of User Sharing settings."
Subscribe to Reports: Send to Groups and Roles,SubscribeReportRolesGrps,Set public groups and roles as recipients of report subscriptions in Lightning Experience.
Subscribe to Reports: Set Running User,SubscribeReportsRunAsUser,Specify who report subscription recipients see report data as. The specified person's data access determines what data the report displays.
Subscribe to Reports: Add Recipients,SubscribeReportToOtherUsers,"Specify recipients of email notifications from report subscriptions in Lightning Experience. All recipient email addresses appear in the subscription email's ""to:"" field, so subscription email recipients will be able to see other's email addresses regardless of User Sharing settings."
Subscribe to Dashboards,SubscribeToLightningDashboards,"Subscribe to dashboards in Lightning Experience to schedule dashboard refreshes and send notifications by email. Your organization's data may be saved and/or processed by third-party services, and Salesforce is not responsible for data users choose to send outside of Salesforce."
Subscribe to Reports,SubscribeToLightningReports,"Subscribe to reports in Lightning Experience to schedule report refreshes and send notifications by email. Your organization's data may be saved and/or processed by third-party services, and Salesforce is not responsible for data users choose to send outside of Salesforce."
"View, Edit, and Save Work Summaries",SummarizationUser,"View, edit, and save AI-generated summaries."
Net Zero features User,SustainabilityUserPermission,Grant users access to Industries Net Zero features.
Access to create Tableau Next dashboards,TableauCreateDashboard,Allows access to create and edit Tableau Next dashboards.
Access to create Tableau Next visualizations,TableauCreateVisualization,Allows access to create Tableau Next visualizations.
Access to create Tableau Next workspaces,TableauCreateWorkspace,Allows access to create Tableau Next workspaces.
Allow access to view Tableau Next metric cards,TableauMetricCards,Allow access to view Tableau Next metric cards.
Access to view Tableau Next dashboards,TableauViewDashboard,Allows access to view Tableau Next dashboards.
Access to view Tableau Next visualizations,TableauViewVisualization,Allows access to view Tableau Next visualizations.
Access to view Tableau Next workspaces,TableauViewWorkspace,Allows access to view Tableau Next workspaces.
Tag Manager,TagManager,Manage the configuration of private and public tags.
Take Partner Enablement Programs,TakePartnerProgram,View and complete assigned Partner Enablement programs in supported Experience Cloud sites.
Administer territory operations,TerritoryOperations,Prerequisite user permission for a user to manage a territory branch.
Access Tracer for External Data Sources,TraceXdsQueries,Access the Tracer tool for testing queries to External Data Sources.
Send Non-Commercial Email,TransactionalEmailSend,"Send non-commercial end-user emails to contacts, leads, and person accounts who opt out of email or who choose Don't Market in data privacy records. This permission doesn't apply to the Cases email action, Lightning Experience list email, or Salesforce Classic mass email."
Exempt from Transaction Security,TransactionSecurityExempt,"Prevent a user’s actions from triggering Transaction Security policies. Be careful in delegating this permission. Assign it only to essential users whose actions, such as automated or bulk API calls, are likely to block critical business processes."
Transfer Cases,TransferAnyCase,Change a case's owner.
Transfer Record,TransferAnyEntity,Change the owner of most records.
Transfer Leads,TransferAnyLead,Change a lead's owner.
Multi-Factor Authentication for API Logins,TwoFactorApi,Require users to enter a code from a time-based one-time password (TOTP) authenticator app instead of the emailed security token in the API.
Edit Marketing Consent Settings,UmaEditConsentSettings,Edit the consent settings in Setup for Marketing Cloud.
Access the GnR App page,UMAGoalsAndRecsUserPerm,Permit user access to GnR app page
Query CMS Email Content,UmaQueryCMSEmailContent,Prepare CMS email content for sending from campaigns and Flow Builder. Email sending also requires Create on Flow object.
Access the Marketing App,UMAStandaloneUserPerm,Permit user access to Marketing app in Lightning Experience.
Setup Web Tracking,UMAWebTrackingSetup,Allow org users to access the setup experience for the UMA Web Tracking feature.
Update DEI Analytics App,UpdateDEIAnalyticsApp,Update the DEI Analytics app.
Update Net Zero Analytics App,UpdateNetZeroAnalyticsApp,Update the Net Zero Analytics app.
Update Report Type References in Semantic Search,UpdateReportTypeReferences,Create and update Report Type field references in Semantic Search.
Update Records with Inactive Owners,UpdateWithInactiveOwner,Update owner and sharing-based fields on records with inactive owners.
Upload Net Zero Analytics Business Metrics Data,UpldNetZeroAnlytBusMetricsData,Upload business metrics data to Net Zero Cloud Analytics.
Upload Net Zero Analytics Efficiency Factor Data,UpldNetZeroAnlytEfcyFctorData,Upload efficiency factor data to Net Zero Cloud Analytics.
Upload Net Zero Analytics Initiative Savings Data,UpldNetZeroAnlytInitSavData,Upload initiative savings data to Net Zero Cloud Analytics.
Upload Net Zero Analytics Renewable Data,UpldNetZeroAnlytRenewableData,Upload renewable energy data to Net Zero Cloud Analytics.
Upload DEI Analytics Data,UploadDEIAnalyticsData,Upload the DEI Analytics dataset.
Usage: Design User,UsageDesignUser,"Gives create, read, update and delete access to all usage design-time objects."
Add order item summary level adjustments.,UseAddAdjustment,Add order item summary level adjustments.
Add additional items to an order summary.,UseAddOrderItemSummary,Add additional items to an order summary.
Use Order Management Add Order Item Summary APIs,UseAddOrderItemSummaryAPIs,Call the Order Management Add Order Item Summary APIs. Required for product exchanges.
Use Advanced Delivery Estimation Service APIs,UseAdvancedDeliveryEstimationAPI,Allow user to access the Advanced Delivery Estimation Service APIs
Instant Actionable Results,UseAssistantDialog,Show instant results and record previews from the global search box.
Use Automotive Analytics,UseAutomotiveAnalytics,View Automotive Analytics.
Can cancel Order Management in-progress async calls.,UseCanCancelInProgressChange,Can cancel Order Management in-progress async calls.
Use CG Analytics,UseCGAnalytics,View CG Analytics.
Execute Analytics Queries on Client Device,UseClientQueryExecution,Execute CRM Analytics queries directly on a client device.
View Salesforce Contracts Analytics,UseCLMAnalytics,View Salesforce Contracts Analytics.
Use Compliant Data Sharing,UseCompliantDataSharing,Grant users access to participant management for compliant data sharing.
Create credit memos.,UseCreateCreditMemo,Create credit memos.
Create order summaries by using APIs.,UseCreateOrderSummary,Create order summaries by using APIs.
Use Customer Experience Analytics,UseCustomerExperienceAnalytics,View Customer Experience Analytics.
Use Delivery Estimation Service,UseDeliveryEstimation,Allow user to access the Delivery Estimation Services.
Use Delivery Estimation Service APIs,UseDeliveryEstimationAPIs,Allow user to access the Delivery Estimation Service APIs.
Use B2B Marketing Analytics Plus,UseEAForB2BMarketing,View B2B Marketing Analytics Plus.
Use Education Analytics,UseEducationAnalytics,View Education Analytics.
Access Education Cloud Components,UseEducationCloudComp,Gives users access to Education Cloud components.
Execute ensure funds.,UseEnsureFunds,Execute ensure funds.
Use Order Management Exchange APIs,UseExchangesAPIs,Allows a user to call the Order Management Exchange APIs.
Use Criteria-Based Search and Filter for Experience Cloud,UseExpCloudCBSF,"Allow Experience Cloud Users to use the Criteria-Based Search and Filter component, and perform searches"
Use Financial Services Analytics,UseFSCAnalytics,View Financial Services Analytics.
Use Order Management Fulfillment APIs,UseFulfillmentAPIs,Allows a user to call the Order Management Fulfillment APIs.
Use Loyalty Analytics,UseLoyaltyAnalytics,View Loyalty Analytics.
Use Manufacturing Analytics,UseManufacturingAnalytics,View Manufacturing Analytics.
Use Manufacturing Account Forecast,UseMfgAccountForecast,Allow users access to account forecasting features
Use Manufacturing Advanced Account Forecast,UseMfgAdvAccountForecast,Allow users access to advance account forecasting features
Advanced Account Forecasting for Experience Cloud,UseMfgAdvAcctForecastCmty,Gives partner users access to advanced account forecasting features in Experience Cloud.
Use Manufacturing Rebates via Community,UseMfgRebatesCmty,Allow users access to rebates via experiences
Use Manufacturing Sales Agreements via Community,UseMfgSalesAgreementsCmty,Allow users access to sales agreements via experiences
Einstein Search,UseMySearch,Enable Einstein Search and show recommended search results.
Use Order Management Analytics,UseOMAnalytics,Access Order Management analytic features and API.
Use Omnichannel Inventory APIs,UseOmnichannelInventoryAPIs,Manage inventory using the Omnichannel Inventory Service APIs.
Use Order Entry,UseOrderEntry,Allows a user to create orders in Salesforce Order Management.
Cancel order item summaries.,UseOrderItemSummaryCancel,Cancel order item summaries.
Execute blind returns.,UseOrderItemSummaryReturn,Execute blind returns.
Use Order Management APIs,UseOrderManagementAPIs,Allows a user to call the Order Management APIs.
Create Order Summaries via API,UseOrderSummaryCreateAPI,Create order summaries via API.
Message Customers with Bring Your Own Channel,UsePartnerMessagingChannels,Accept incoming and transferred messages and start outbound messages in Bring Your Own channels.
Natural Language Search,UseQuerySuggestions,Show results for natural language searches and list views.
Use Register Guest Buyer API,UseRegisterGuestBuyerAPI,Allows a user to call the Register Guest Buyer API.
Use Repricing Objects and APIs,UseRepricing,Allow access to order product repricing features.
Use Order Management Return Order,UseReturnOrder,Allows a user to access the Order Management Return Order Objects.
Use Order Management Return APIs,UseReturnOrderAPIs,Allows a user to call the Order Management Return Order APIs.
Access the Fulfillment Order routing APIs.,UseRouting,Access the Fulfillment Order routing APIs.
Connect Salesforce with Slack,UserSlackCapabilities,Lets a Salesforce user initiate communication between Salesforce and Slack.
Access Salesforce Engage and its features,UseSalesforceEngage,Access Salesforce Engage and its features
Manufacturing Cloud Service Part Return Management User,UseServicePartReturn,Allow users to access Manufacturing Cloud Service Part Return Management features.
Use Ship and Debit Process Management in Experience Cloud,UseShipAndDebitCmty,Access Ship and Debit Process Management features in Experience Cloud.
Use Shipment Objects,UseShipment,Access the Shipment objects.
Use Einstein Discovery,UseSmartDataDiscovery,Use Einstein Discovery and view the models that are shared with you.
Subscribe to CRM Analytics Assets,UseSubscriptionEmails,"Subscribe to CRM Analytics lenses and dashboard widgets to send scheduled status updates by email, or subscribe to CRM Analytics dashboards in Slack. For subscribing to tables, the Download Analytics Data permission is also required. Your organization’s data may be saved and/or processed by third-party services, and Salesforce is not responsible for data users choose to send outside of Salesforce."
Use Net Zero Analytics,UseTCRMforSustainability,View Net Zero Analytics.
Use Team Reassignment Wizards,UseTeamReassignWizards,Mass reassign account team and opportunity team members.
Use CRM Analytics Templated Apps,UseTemplatedApp,View apps based on available app templates.
Allow Access to Customized Actions,UseWebLink,Unsupported. Use the page layout editor to customize which actions show up in Salesforce and in the Salesforce mobile app.
Provides access to provider users to manage prior authorization requests with Utilization Management,UtilizationMgmtProviderUser,Provides access to provider users to manage prior authorization requests with Utilization Management
Provides access to Utilization Management features and objects from an Experience Cloud site.,UtilMgmtExperienceCloudUser,Provides access to Utilization Management features and objects from an Experience Cloud site.
Use Utilization Management for Providers via Experience Cloud sites,UtilMgmtProviderExprcCloudUser,Use Utilization Management for Providers via Experience Cloud sites.
Use Video Conferencing with Google Meet,VideoConferenceMeetUser,Users can connect their company Google accounts and Google Meet videos to Salesforce.
Use Video Conferencing with Teams,VideoConferenceTeamsUser,Users can connect their company MS Teams Video accounts to Salesforce.
Use Video Conferencing with Zoom,VideoConferenceZoomUser,Users can connect their company Zoom accounts to Salesforce.
View Access Policies,ViewAccessPolicies,Grants users access to view Enforcement Policies
View All Activities,ViewAllActivities,View all activity data irrespective of sharing rules.
View All Voice And Video Calls,ViewAllCalls,View all Voice and Video calls irrespective of sharing
View All Custom Settings,ViewAllCustomSettings,Let users view all custom setting data directly and via the API.
View All Data,ViewAllData,"View all organizational data, regardless of sharing settings."
View All Fields (Global),ViewAllFieldsGlobal,"View all fields and field data, regardless of assigned field permissions. To see an object’s fields, the user must also have the required object permissions."
View All Forecasts,ViewAllForecasts,"View any user's forecast, regardless of the forecast role hierarchy. The user can also view opportunities within the Forecasts tab regardless of sharing settings."
View All Lookup Record Names,ViewAllForeignKeyNames,"View the record names in lookup fields regardless of sharing settings. Lookup fields include system fields, such as Created By and Last Modified By."
View All Non-Admin Flows,ViewAllNonSetupFlows,"In Lightning Experience apps, allow users without the Manage Flow or View All Data user permissions to see all flows with associated flow records, regardless of ownership or sharing settings. Users can edit a flow only if they have permissions to all element types contained in the flow. Only users with the Manage Flow permission can view flows in Setup."
View All Policy Center Policies,ViewAllPolicyCenterPolicies,View all Policies in the Policy Center App. Specific policy types may require additional permissions.
View All Profiles,ViewAllProfiles,"View all user profiles, regardless of profile filtering setting."
